30, 30

0, 1
0, 6
0, 7
0, 23
0, 24
1, 3
1, 6
1, 11
1, 12
1, 15
1, 28
2, 1
2, 2
2, 5
2, 13
2, 14
2, 21
3, 1
3, 8
3, 21
3, 22
3, 25
4, 10
4, 16
4, 18
4, 21
4, 26
5, 1
5, 8
5, 13
5, 14
5, 15
5, 16
5, 19
5, 25
5, 26
5, 27
6, 7
6, 9
6, 12
6, 19
6, 25
6, 26
6, 27
7, 22
7, 25
7, 26
8, 0
8, 5
8, 6
8, 7
8, 8
8, 11
8, 12
8, 24
9, 2
9, 3
9, 6
9, 19
9, 27
10, 0
10, 8
10, 12
10, 13
10, 17
10, 29
11, 2
11, 3
11, 4
11, 13
11, 16
11, 27
12, 4
12, 5
12, 8
12, 11
12, 13
12, 16
12, 18
12, 25
12, 26
13, 0
13, 3
13, 4
13, 5
13, 10
13, 11
13, 12
13, 17
13, 26
14, 0
14, 4
14, 8
14, 9
14, 12
14, 16
14, 19
14, 21
14, 29
15, 1
15, 3
15, 6
15, 7
15, 10
15, 16
15, 19
15, 20
15, 21
15, 25
15, 26
15, 27
16, 12
16, 13
16, 15
16, 18
16, 21
16, 22
16, 26
17, 4
17, 5
17, 16
17, 27
18, 3
18, 4
18, 7
18, 9
18, 14
18, 18
19, 2
19, 24
19, 25
20, 1
20, 4
20, 7
20, 9
20, 13
20, 17
20, 23
20, 24
20, 26
20, 27
21, 4
21, 9
21, 11
21, 17
21, 22
21, 25
22, 6
22, 23
22, 27
22, 28
22, 29
23, 4
23, 20
23, 24
23, 27
24, 4
24, 7
24, 12
24, 15
24, 18
24, 19
24, 21
24, 28
25, 0
25, 1
25, 7
25, 10
25, 13
25, 15
25, 17
25, 21
25, 25
26, 3
26, 5
26, 6
26, 8
26, 18
26, 21
26, 27
27, 10
27, 16
27, 18
27, 19
27, 22
27, 23
27, 25
27, 26
27, 27
27, 28
28, 19
28, 26
28, 28
29, 6
29, 8
29, 14
29, 15
29, 19
29, 24
29, 29
